20200501 044500,1.09719,1.0973,1.09704,1.09707,0
20200501 044600,1.09707,1.09716,1.09692,1.09712,0
20200501 044700,1.09711,1.09717,1.09703,1.09711,0
20200501 044800,1.09711,1.09722,1.09711,1.09715,0
20200501 044900,1.09714,1.09724,1.09693,1.09696,0
20200501 045000,1.09694,1.09698,1.09689,1.09695,0
20200501 045100,1.09694,1.0972,1.09694,1.09717,0
20200501 045200,1.09717,1.09738,1.09711,1.09738,0
20200501 045300,1.09738,1.0977,1.09738,1.09759,0
20200501 045400,1.09758,1.09767,1.09743,1.09754,0
20200501 045500,1.09754,1.09769,1.0975,1.09751,0
20200501 045600,1.09752,1.09753,1.09711,1.09715,0
20200501 045700,1.09716,1.09725,1.0971,1.09715,0
20200501 045800,1.09716,1.09751,1.09715,1.09746,0
20200501 045900,1.09746,1.09764,1.09746,1.09763,0
20200501 050000,1.09763,1.09765,1.09749,1.09757,0
20200501 050100,1.09755,1.09766,1.09751,1.09765,0
20200501 050200,1.09765,1.09774,1.09745,1.09747,0
20200501 050300,1.09748,1.0975,1.0974,1.09745,0
20200501 050400,1.09744,1.09763,1.09744,1.09757,0
20200501 050500,1.09756,1.09774,1.09756,1.09773,0
20200501 050600,1.09774,1.09792,1.09773,1.09791,0
20200501 050700,1.09792,1.09792,1.09779,1.09783,0
20200501 050800,1.09782,1.09791,1.09775,1.09775,0
20200501 050900,1.09774,1.09774,1.09755,1.09763,0
20200501 051000,1.09763,1.09766,1.09749,1.09761,0
20200501 051100,1.0976,1.0976,1.09742,1.09745,0
20200501 051200,1.09748,1.09756,1.09748,1.09756,0
20200501 051300,1.09757,1.09769,1.09755,1.09768,0
20200501 051400,1.09767,1.09781,1.09766,1.09777,0
20200501 051500,1.09776,1.09784,1.09763,1.09765,0
20200501 051600,1.09764,1.09766,1.09759,1.0976,0
20200501 051700,1.09759,1.09759,1.09739,1.09753,0
20200501 051800,1.09752,1.09782,1.0975,1.09782,0
20200501 051900,1.09783,1.09792,1.09783,1.09787,0
20200501 052000,1.09785,1.09796,1.0978,1.09781,0
20200501 052100,1.09782,1.09783,1.0977,1.0977,0
20200501 052200,1.0977,1.09776,1.09763,1.09776,0
20200501 052300,1.09775,1.09787,1.0977,1.09787,0
20200501 052400,1.09787,1.09794,1.09785,1.09792,0
20200501 052500,1.09792,1.09793,1.09786,1.09788,0
20200501 052600,1.09789,1.09842,1.09789,1.09841,0
20200501 052700,1.09841,1.09841,1.09826,1.09826,0
20200501 052800,1.09827,1.09849,1.09827,1.09847,0
20200501 052900,1.09848,1.09874,1.09847,1.09867,0
20200501 053000,1.09865,1.09865,1.09825,1.0984,0
20200501 053100,1.09839,1.09846,1.09821,1.09846,0
20200501 053200,1.09846,1.09847,1.09835,1.09837,0
20200501 053300,1.09837,1.09837,1.09805,1.09805,0
20200501 053400,1.09806,1.09838,1.09806,1.09838,0
20200501 053500,1.09836,1.09836,1.09814,1.09819,0
20200501 053600,1.09818,1.09818,1.09785,1.09796,0
20200501 053700,1.09796,1.09807,1.0979,1.0979,0
20200501 053800,1.09791,1.09801,1.09781,1.09789,0
20200501 053900,1.09789,1.09797,1.0978,1.0979,0
20200501 054000,1.09793,1.09827,1.0979,1.09827,0
20200501 054100,1.09827,1.09831,1.09817,1.09822,0
20200501 054200,1.09822,1.09835,1.09817,1.0982,0
20200501 054300,1.09821,1.09844,1.09821,1.0984,0
20200501 054400,1.0984,1.0984,1.09822,1.09831,0
20200501 054500,1.09831,1.09833,1.09821,1.09822,0
20200501 054600,1.09822,1.0984,1.09812,1.09832,0
20200501 054700,1.09832,1.09832,1.09806,1.09806,0
20200501 054800,1.09806,1.09819,1.09802,1.09818,0
20200501 054900,1.09818,1.09826,1.09797,1.09799,0
20200501 055000,1.09801,1.09816,1.09798,1.09805,0
20200501 055100,1.09805,1.09827,1.09805,1.09827,0
20200501 055200,1.09827,1.09827,1.09819,1.09822,0
20200501 055300,1.09821,1.09821,1.09798,1.09804,0
20200501 055400,1.09803,1.09829,1.09789,1.09829,0
20200501 055500,1.09829,1.09836,1.09825,1.09828,0
20200501 055600,1.09829,1.09838,1.09816,1.09816,0
20200501 055700,1.09818,1.09831,1.09812,1.09818,0
20200501 055800,1.09817,1.09826,1.09806,1.09806,0
20200501 055900,1.09807,1.09821,1.09804,1.09817,0
20200501 060000,1.09817,1.09834,1.09815,1.09826,0
20200501 060100,1.09828,1.09849,1.09826,1.09846,0
20200501 060200,1.09846,1.09859,1.09842,1.09857,0
20200501 060300,1.09856,1.09856,1.09839,1.09846,0
20200501 060400,1.09846,1.09846,1.09833,1.09838,0
20200501 060500,1.09838,1.09846,1.09836,1.09846,0
20200501 060600,1.09845,1.09847,1.0982,1.09826,0
20200501 060700,1.09827,1.09848,1.09826,1.09847,0
20200501 060800,1.09846,1.09862,1.09842,1.09853,0
20200501 060900,1.09853,1.09862,1.09846,1.09861,0
20200501 061000,1.09861,1.09861,1.09846,1.09847,0
20200501 061100,1.09847,1.0986,1.09846,1.09848,0
20200501 061200,1.09848,1.09852,1.09844,1.09847,0
20200501 061300,1.09848,1.0986,1.09844,1.09844,0
20200501 061400,1.09844,1.09853,1.09844,1.09845,0
20200501 061500,1.09845,1.0985,1.09838,1.09838,0
20200501 061600,1.09839,1.09852,1.09831,1.09852,0
20200501 061700,1.09852,1.09854,1.09843,1.09851,0
20200501 061800,1.09852,1.09857,1.09846,1.09846,0
20200501 061900,1.09846,1.09856,1.09846,1.09855,0
20200501 062000,1.09855,1.09861,1.09846,1.09849,0
20200501 062100,1.0985,1.09852,1.09842,1.09849,0
20200501 062200,1.0985,1.09861,1.09849,1.09861,0
20200501 062300,1.0986,1.09896,1.09859,1.09894,0
20200501 062400,1.09893,1.09893,1.09872,1.09872,0
20200501 062500,1.09873,1.09877,1.09861,1.09862,0
20200501 062600,1.09862,1.09868,1.09855,1.09858,0
20200501 062700,1.09857,1.09869,1.09853,1.09868,0
20200501 062800,1.09867,1.09867,1.09851,1.09851,0
20200501 062900,1.09851,1.09862,1.09846,1.09853,0
20200501 063000,1.09854,1.09878,1.09854,1.09873,0
20200501 063100,1.09874,1.09878,1.09855,1.09878,0
20200501 063200,1.0988,1.09885,1.09867,1.09871,0
20200501 063300,1.09872,1.09884,1.09872,1.09881,0
20200501 063400,1.09882,1.09899,1.09882,1.09895,0
20200501 063500,1.09896,1.09898,1.0989,1.09892,0
20200501 063600,1.09891,1.09891,1.09879,1.09881,0
20200501 063700,1.09882,1.09882,1.09849,1.09855,0
20200501 063800,1.09856,1.09861,1.09822,1.09823,0
20200501 063900,1.09822,1.0984,1.09822,1.09836,0
20200501 064000,1.09836,1.09842,1.09836,1.0984,0
20200501 064100,1.0984,1.09848,1.0983,1.09839,0
20200501 064200,1.0984,1.09842,1.09814,1.09826,0
20200501 064300,1.09826,1.0983,1.09813,1.09814,0
20200501 064400,1.09815,1.09815,1.09779,1.09796,0
20200501 064500,1.09795,1.09817,1.09788,1.09789,0
20200501 064600,1.09789,1.09795,1.09784,1.09791,0
20200501 064700,1.09793,1.09797,1.09791,1.09796,0
